"","gene","PMID36300619_CellMarkv2","GeneID"
"1","11-Sep","H.Blood.Normal.PlasmacytoidDendriticCell.28428369",NA
"856","ALDH family","H.Undefined.LungCancer.CancerStemCell.18525120",NA
"857","ALDH family","H.Undefined.PancreaticCancer.CancerStemCell.21125672",NA
"858","ALDH family","H.Undefined.Osteosarcoma.CancerStemCell.25940879",NA
"859","ALDH family","H.PeripheralBlood.Normal.CirculatingProgenitorCell.23682163",NA
"1089","ANKRD20A4","H.FetalGonad.Normal.MitoticArrestPhaseFetalGermCell.28457750",NA
"1586","ARIH2OS","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"1587","ARIH2OS","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"1944","ATP6AP1L","H.FetalGonad.Normal.OogenesisPhaseFetalGermCell.28457750",NA
"2469","BMP family","H.Undefined.ColonCancer.CancerStemCell.27866420",NA
"2689","C10orf126","H.SmallIntestine.Normal.SecretoryProgenitorCell.29802404",NA
"2743","C15orf53","H.Liver.HepatocellularCancer.RegulatoryTTregCell.28622514",NA
"2782","C19orf48","H.Esophagus.Normal.Fgfr1lownme5.EpithelialCell.29802404",NA
"2783","C19orf48","H.EmbryonicPrefrontalCortex.Normal.NeuralProgenitorCell.29539641",NA
"2784","C19orf48","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"2785","C19orf48","H.FetalGonad.Normal.LeydigCell.28457750",NA
"2786","C19orf48","H.FetalGonad.Normal.EndothelialCell.28457750",NA
"2836","C1orf61","H.EmbryonicPrefrontalCortex.Normal.MicroglialCell.29539641",NA
"2837","C1orf61","H.Brain.Normal.Astrocyte.27806376",NA
"2838","C1orf61","H.EmbryonicPrefrontalCortex.Normal.Astrocyte.29539641",NA
"2870","C20orf197","H.UmbilicalCordBlood.Normal.Lymphoid.PrimedMultipotentProgenitorCell.29167569",NA
"2871","C20orf197","H.SmallIntestine.Normal.EnteroendocrineCell.29802404",NA
"2874","C20orf78","H.SmallIntestine.Normal.EnteroendocrineCell.29802404",NA
"2897","C2orf27A","H.Brain.Normal.Oligodendrocyte.27806376",NA
"2908","C2orf91","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"2965","C5orf56","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"2974","C6orf48","H.PeripheralBlood.Normal.NaiveCd4.TCell.28622514",NA
"2975","C6orf48","H.Kidney.Normal.BCell.30093597",NA
"2976","C6orf48","H.FetalGonad.Normal.LeydigPrecursorCell.28457750",NA
"2977","C6orf48","H.PeripheralBlood.Normal.NaiveCd8.TCell.28622514",NA
"2978","C6orf48","H.FetalGonad.Normal.MitoticFetalGermCell.28457750",NA
"2979","C6orf48","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"2980","C6orf48","H.UmbilicalCordBlood.Normal.MultilymphoidProgenitorCell.29167569",NA
"2986","C6orf99","H.UmbilicalCordBlood.Normal.MultilymphoidProgenitorCell.29167569",NA
"2997","C7orf65","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"2998","C7orf66","H.SmallIntestine.Normal.SecretoryProgenitorCell.29802404",NA
"3001","C8orf44","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"3002","C8orf44","H.SmallIntestine.Normal.GobletCell.29802404",NA
"3011","C9orf139","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"3120","Calponin family","H.Undefined.InfantileHemangiomas.Pericyte.24401806",NA
"3121","Calponin family","H.Breast.Normal.MyoepithelialCell.26630681",NA
"3122","Calponin family","H.SalivaryGland.Normal.MyoepithelialCell.20840670",NA
"3230","CARD17","H.Liver.HepatocellularCancer.RegulatoryTTregCell.28622514",NA
"3368","CCAT1","H.Embryo.Normal.PrimitiveEndodermCell.27062923",NA
"3940","CD158 family","H.Undefined.Normal.NaturalKillerCell.Company",NA
"3941","CD158 family","H.Undefined.Normal.NaturalKillerCell.Company",NA
"3942","CD158 family","H.AdiposeTissue.Normal.NaturalKillerCell.25162225",NA
"4785","CD3GCD33","H.BoneMarrow.Normal.HematopoieticCell.21551058",NA
