"","gene","PMID35121907_TableS2_GESPGenes ","GeneID"
"1","1-Mar","SurfaceomeEnzyme",NA
"39","AC005255.6","SurfaceomeGPCR",NA
"102","ADGRE4P","SurfaceomeGPCR",NA
"105","ADGRF2","SurfaceomeGPCR",NA
"310","BTN2A3P","Surfaceome",NA
"314","BTNL10","Surfaceome",NA
"654","CLECL1","SurfaceomeT cell co-stimulatorCTLDs V NK receptor",NA
"720","CTC-360G5.9","Surfaceome",NA
"721","CTD-2270P14.1","Surfaceome",NA
"945","FCGR1B","SurfaceomeFc Receptor",NA
"1060","GGT3P","SurfaceomeEnzyme",NA
"1104","GLRA4","SurfaceomeIonChannel",NA
"1115","GNRHR2","SurfaceomeGPCR",NA
"1183","GPR32P1","SurfaceomeGPCR",NA
"1306","HLA-DRB9","Surfaceome",NA
"1371","IGHA1","Surfaceome",NA
"1372","IGHG1","Surfaceome",NA
"1373","IGHG2","Surfaceome",NA
"1374","IGHG4","Surfaceome",NA
"1375","IGHM","Surfaceome",NA
"1376","IGHV4-34","Surfaceome",NA
"1377","IGHV4OR15-8","Surfaceome",NA
"1378","IGKV1D-39","Surfaceome",NA
"1379","IGKV5-2","Surfaceome",NA
"1382","IGLV1-51","Surfaceome",NA
"1488","KAAG1","Surfaceome",NA
"1597","KLRAP1","SurfaceomeCTLDs V NK receptor",NA
"1893","MSLNL","Surfaceome",NA
"2001","NPY6R","SurfaceomeGPCR",NA
"2059","OR10D4P","SurfaceomeGPCR",NA
"2073","OR10J3","SurfaceomeGPCR",NA
"2076","OR10J6P","SurfaceomeGPCR",NA
"2106","OR13C6P","SurfaceomeGPCR",NA
"2131","OR1E3","SurfaceomeGPCR",NA
"2133","OR1F12","SurfaceomeGPCR",NA
"2134","OR1F2P","SurfaceomeGPCR",NA
"2150","OR1P1","SurfaceomeGPCR",NA
"2226","OR2W5","SurfaceomeGPCR",NA
"2227","OR2W6P","SurfaceomeGPCR",NA
"2233","OR3A4P","SurfaceomeGPCR",NA
"2237","OR4A4P","SurfaceomeGPCR",NA
"2239","OR4A8","SurfaceomeGPCR",NA
"2265","OR4F4","SurfaceomeGPCR",NA
"2306","OR51H1","SurfaceomeGPCR",NA
"2309","OR51J1","SurfaceomeGPCR",NA
"2317","OR52A4P","SurfaceomeGPCR",NA
"2337","OR52L2P","SurfaceomeGPCR",NA
"2347","OR52Z1","SurfaceomeGPCR",NA
"2357","OR5AC1","SurfaceomeGPCR",NA
"2360","OR5AK3P","SurfaceomeGPCR",NA
"2379","OR5G3","SurfaceomeGPCR",NA
"2459","OR8G2P","SurfaceomeGPCR",NA
"2473","OR9A1P","SurfaceomeGPCR",NA
"2572","PCDHB18P","SurfaceomeCadherin",NA
"2869","RP11-35N6.1","SurfaceomeEnzyme",NA
"2870","RP11-477N12.3","Surfaceome",NA
"3267","SLCO1B7","SurfaceomeTransporter",NA
"3375","TAAR3","SurfaceomeGPCR",NA
"3516","TMEM256-PLSCR3","SurfaceomeEnzyme",NA
"3522","TMEM30C","Surfaceome",NA
"3591","TRAV19","Surfaceome",NA
"3592","TRAV3","Surfaceome",NA
"3593","TRBV12-3","Surfaceome",NA
"3594","TRBV2","Surfaceome",NA
"3595","TRBV25-1","Surfaceome",NA
"3601","TRGC2","Surfaceome",NA
"3692","VN1R17P","SurfaceomeGPCR",NA
"3699","VNN3","Surfaceome",NA
