"","gene","PMID35121907_TableS10_GESP_ANDGATEDCAR","GeneID"
"355","TRBV12-3","AndCAR_TierI_SLCO5A1_TierIII",NA
"356","TRBV12-3","AndCAR_TierI_KREMEN2_TierI",NA
"357","TRBV12-3","AndCAR_TierI_SLC7A3_TierIII",NA
"358","TRBV2","AndCAR_TierII_KREMEN2_TierI",NA
"359","TRBV2","AndCAR_TierII_SLCO5A1_TierIII",NA
"360","TRBV2","AndCAR_TierII_SLC7A3_TierIII",NA
"361","TRBV25-1","AndCAR_TierI_SLCO5A1_TierIII",NA
"362","TRBV25-1","AndCAR_TierI_SLC7A3_TierIII",NA
"363","TRBV25-1","AndCAR_TierI_KREMEN2_TierI",NA
"379","TRGC2","AndCAR_TierIII_CLDN8_TierIII",NA
