PMID35121907_TableS26_StronglySelectedSurfaceome	gene
StronglySelectiveSurfaceome	EGFR
StronglySelectiveSurfaceome	FLT3
StronglySelectiveSurfaceome	MET
StronglySelectiveSurfaceome	FGFR2
StronglySelectiveSurfaceome	ERBB2
StronglySelectiveSurfaceome	FGFR3
StronglySelectiveSurfaceome	FGFR1
StronglySelectiveSurfaceome	IGF1R
StronglySelectiveSurfaceome	CDH1
StronglySelectiveSurfaceome	ERBB3
StronglySelectiveSurfaceome	TNFSF10
StronglySelectiveSurfaceome	CTNNB1
StronglySelectiveSurfaceome	CD19
StronglySelectiveSurfaceome	FGFR4
StronglySelectiveSurfaceome	IRS1
StronglySelectiveSurfaceome	ITGB3
StronglySelectiveSurfaceome	CDH2
StronglySelectiveSurfaceome	EPHA2
StronglySelectiveSurfaceome	FADD
StronglySelectiveSurfaceome	MPL
StronglySelectiveSurfaceome	ALK
StronglySelectiveSurfaceome	INSR
StronglySelectiveSurfaceome	IL6ST
StronglySelectiveSurfaceome	CD46
StronglySelectiveSurfaceome	SLC7A11
StronglySelectiveSurfaceome	IL1R1
StronglySelectiveSurfaceome	JUP
StronglySelectiveSurfaceome	CPM
StronglySelectiveSurfaceome	LPAR1
StronglySelectiveSurfaceome	NOTCH1
StronglySelectiveSurfaceome	CTLA4
StronglySelectiveSurfaceome	RHOB
StronglySelectiveSurfaceome	TNFRSF10B
StronglySelectiveSurfaceome	SLC39A6
StronglySelectiveSurfaceome	SLC7A1
StronglySelectiveSurfaceome	SLC16A1
StronglySelectiveSurfaceome	NRP1
StronglySelectiveSurfaceome	XPR1
StronglySelectiveSurfaceome	BAMBI
StronglySelectiveSurfaceome	KCNK5
StronglySelectiveSurfaceome	LRP8
StronglySelectiveSurfaceome	CAV2
StronglySelectiveSurfaceome	SLC3A1
StronglySelectiveSurfaceome	FLVCR1
StronglySelectiveSurfaceome	PTGER2
StronglySelectiveSurfaceome	ATP6V0A2
StronglySelectiveSurfaceome	FZD5
StronglySelectiveSurfaceome	PARD6B
StronglySelectiveSurfaceome	ULBP3
StronglySelectiveSurfaceome	SLC5A3
StronglySelectiveSurfaceome	BEST3
StronglySelectiveSurfaceome	KIRREL
StronglySelectiveSurfaceome	PRKD1
StronglySelectiveSurfaceome	RGS1
StronglySelectiveSurfaceome	STEAP3
StronglySelectiveSurfaceome	SLC20A1
StronglySelectiveSurfaceome	IFNAR1
StronglySelectiveSurfaceome	FAM126B
StronglySelectiveSurfaceome	ANKH
StronglySelectiveSurfaceome	PREX1
StronglySelectiveSurfaceome	STX4
StronglySelectiveSurfaceome	IL10RA
StronglySelectiveSurfaceome	SC5D
StronglySelectiveSurfaceome	SLC36A1
StronglySelectiveSurfaceome	KIAA0319
StronglySelectiveSurfaceome	ERMP1
StronglySelectiveSurfaceome	PLXNA1
StronglySelectiveSurfaceome	IFNAR2
StronglySelectiveSurfaceome	ATP1B3
StronglySelectiveSurfaceome	KCNK13
StronglySelectiveSurfaceome	SRD5A3
StronglySelectiveSurfaceome	KIAA1549L
StronglySelectiveSurfaceome	STAMBP
StronglySelectiveSurfaceome	SLC44A5
StronglySelectiveSurfaceome	SLC46A3
StronglySelectiveSurfaceome	CHRM2
StronglySelectiveSurfaceome	OPN5
StronglySelectiveSurfaceome	OR5V1
StronglySelectiveSurfaceome	MUC22
StronglySelectiveSurfaceome	OR52W1
