PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeKinase,EGFR
Surfaceome,CD44
SurfaceomeIntegrinT cell co-stimulator,ITGB1
SurfaceomeIgSF_CAMT cell co-stimulator/co-inhibitor,PVR
SurfaceomeTransporter,SLC39A14
SurfaceomeCadherin,CDH2
SurfaceomeCadherin,DSG2
Surfaceome,AQP1
SurfaceomeIntegrinComplement receptor,ITGB2
SurfaceomeTransporter,SLC9A1
SurfaceomeIonChannel,MCOLN1
SurfaceomeKinase,ERBB2
SurfaceomeIgSF_CAM,L1CAM
SurfaceomeKinaseTGF-beta receptor family,TGFBR2
SurfaceomeEnzyme,ANPEP
Surfaceome,CD4
Surfaceome,SGCE
SurfaceomeKinase,ERBB3
SurfaceomeCadherin,CDH1
SurfaceomeKinaseCadherin,RET
SurfaceomeCadherin,CDH4
SurfaceomeTransporter,SLC6A6
SurfaceomeKinase,TEK
SurfaceomeIntegrin,ITGB4
SurfaceomeKinase,KIT
SurfaceomeKinase,FLT4
Surfaceome,MR1
SurfaceomeIonChannel,CLCA2
SurfaceomeTransporter,SLC3A2
SurfaceomeTransporter,SLC1A5
SurfaceomeTransporter,SLC2A1
SurfaceomeIgSF_CAM,NCAM1
Surfaceome,PODXL
SurfaceomeEnzyme,ADAM10
SurfaceomeIgSF_CAMT cell co-stimulator/co-inhibitor,PVRL2
Surfaceome,EFNB1
SurfaceomeTransporter,ATP1B3
SurfaceomeEnzyme,NT5E
SurfaceomeKinase,MET
SurfaceomeTumor necrosis factor receptor superfamily,FAS
SurfaceomeIntegrin,ITGB5
Surfaceome,MYOF
SurfaceomeIgSF_CAM,NEO1
SurfaceomeIgSF_CAM,CADM1
Surfaceome,EPCAM
SurfaceomeIonChannel,PANX1
SurfaceomeEnzyme,PTPRS
SurfaceomeIonChannel,ANO6
SurfaceomeEnzyme,PTPRK
SurfaceomeIL-6 receptor family,IL6ST
SurfaceomeCadherin,PCDHGC3
SurfaceomeIgSF_CAM,JAM2
SurfaceomeTransporter,SLC46A1
SurfaceomeIL-2 receptor family,IL7R
SurfaceomeScavenger receptor,CD163
SurfaceomeIgSF_CAM,NCAM2
SurfaceomeEnzyme,ADAM22
SurfaceomeCadherin,PCDH1
SurfaceomeCTLDs V NK receptor,OLR1
Surfaceome,SLITRK6
SurfaceomeEnzyme,NLGN1
SurfaceomeGPCR,ADGRG2
SurfaceomeFc Receptor,FCAR
SurfaceomeGPCR,ADGRE5
SurfaceomeIntegrin,ITGB3
SurfaceomeIgSF_CAM,MCAM
SurfaceomeIgSF_CAM,ICAM1
Surfaceome,BSG
SurfaceomeIgSF_CAM,F11R
SurfaceomeGPCR,ADGRL2
SurfaceomeKinase,IGF1R
SurfaceomeKinase,EPHA2
SurfaceomeKinase,INSR
Surfaceome,SEMA4D
Surfaceome,BST2
SurfaceomeIonChannel,TTYH3
SurfaceomeIgSF_CAM,CD47
Surfaceome,SORT1
SurfaceomeTransporter,ABCC1
SurfaceomeTransporter,SLC39A6
SurfaceomeIgSF_CAM,THY1
SurfaceomeEnzyme,ENPP1
Surfaceome,EFNB2
SurfaceomeIonChannel,SLC26A6
Surfaceome,BTN2A1
SurfaceomeKinase,FGFR1
SurfaceomeGPCRCadherin,CELSR1
