PMID35121907_TableS31_caGESP_SpecificReceptor	gene
Ligand_Surface_DLK1	NOTCH1
Ligand_Surface_DLK1	NOTCH3
Ligand_Surface_DLK1	NOTCH4
Ligand_Surface_DLK1	NOTCH2
Ligand_Surface_EDA	EDAR
Ligand_Surface_EDA	EDA2R
Ligand_Surface_CDH1	ITGB7
Ligand_Surface_CDH1	ITGAE
Ligand_Surface_CD70	CD27
Ligand_Surface_DLL3	NOTCH1
Ligand_Surface_DLL3	NOTCH3
Ligand_Surface_DLL3	NOTCH4
Ligand_Surface_DLL3	NOTCH2
Ligand_Surface_NLGN3	NRXN3
Ligand_Surface_NLGN3	NRXN1
Ligand_Surface_ULBP2	KLRK1
Ligand_Surface_ADAM2	ITGB1
Ligand_Surface_ADAM2	ITGA6
Ligand_Surface_CD24	SELP
Ligand_Surface_TGFA	EGFR
Ligand_Surface_TGFA	ERBB2
Ligand_Surface_AGRN	MUSK
Ligand_Surface_NCAM1	GFRA1
Ligand_Surface_NCAM1	ROBO1
Ligand_Surface_NCAM1	ROBO3
Ligand_Surface_NLGN1	NRXN1
Ligand_Surface_NLGN1	NRXN3
Ligand_Surface_PODXL2	SELL
Ligand_Surface_TDGF1	ACVR2A
Ligand_Extracellular_PROC	SERPINA5
Ligand_Extracellular_F2	SERPINA5
Ligand_Surface_THBS1	SDC1
Ligand_Extracellular_HGF	SDC1
Ligand_Extracellular_SLIT1	SDC1
Ligand_Extracellular_CCL5	SDC1
Ligand_Surface_SLIT2	SDC1
Ligand_Extracellular_HGFAC	SPINT1
Ligand_Surface_TNFSF12	TNFRSF12A
Ligand_Extracellular_FGF19	FGFR4
Ligand_Extracellular_FGF4	FGFR4
Ligand_Extracellular_FGF8	FGFR4
Ligand_Extracellular_FGF18	FGFR4
Ligand_Extracellular_FGF17	FGFR4
Ligand_Extracellular_FGF5	FGFR4
Ligand_Extracellular_FGF23	FGFR4
Ligand_Surface_FGF10	FGFR4
Ligand_Surface_EFNB2	EPHB2
Ligand_Surface_EFNB3	EPHB2
Ligand_Surface_EFNB1	EPHB2
Ligand_Surface_EFNA5	EPHB2
Ligand_Extracellular_RSPO1	RNF43
Ligand_Extracellular_CXCL17	GPR35
Ligand_Extracellular_IL21	IL21R
Ligand_Extracellular_JCHAIN	CD79A
Ligand_Surface_TNFSF13B	TNFRSF17
Ligand_Extracellular_TNFSF13	TNFRSF17
Ligand_Extracellular_TNFSF13	TNFRSF13B
Ligand_Surface_TNFSF13B	TNFRSF13B
Ligand_Extracellular_CTSL	CD74
Ligand_Extracellular_MIF	CD74
Ligand_Extracellular_CXCL13	CXCR5
Ligand_Extracellular_HGF	MET
Ligand_Surface_SEMA4D	MET
Ligand_Surface_SEMA5A	MET
Ligand_Extracellular_PTN	PTPRZ1
Ligand_Extracellular_MDK	PTPRZ1
Ligand_Extracellular_COL1A1	DDR1
Ligand_Extracellular_MMP1	BSG
Ligand_Surface_KITLG	KIT
Ligand_Extracellular_CLEC11A	KIT
Ligand_Surface_ADAM12	SDC4
Ligand_Extracellular_CCL5	SDC4
Ligand_Extracellular_MDK	SDC4
Ligand_Extracellular_BMP4	BMPR1B
Ligand_Extracellular_BMP2	BMPR1B
Ligand_Extracellular_BMP7	BMPR1B
Ligand_Surface_BMP6	BMPR1B
Ligand_Extracellular_BMP15	BMPR1B
Ligand_Extracellular_BMP8B	BMPR1B
Ligand_Extracellular_BMP5	BMPR1B
Ligand_Extracellular_GDF9	BMPR1B
Ligand_Extracellular_GDF5	BMPR1B
Ligand_Extracellular_GDF1	BMPR1B
