PMID35121907_TableS32_ImmAssoMolecules	gene
Immunologically_Associated_Molecules_Tetraspanin	TSPAN6
Immunologically_Associated_Molecules_NK_cell_co-stimulator	KMT2E
Immunologically_Associated_Molecules_Integrin	ITGAL
Immunologically_Associated_Molecules_Integrin	ITGA3
Immunologically_Associated_Molecules_Integrin	ITGA2B
Immunologically_Associated_Molecules_Ligand_CX3C	CX3CL1
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF12A
Immunologically_Associated_Molecules_SelectinCTLDs_IV_Selectin	SELE
Immunologically_Associated_Molecules_Cadherin	CELSR3
Immunologically_Associated_Molecules_CTLDs_X_Polycystin_family	PKD1
Immunologically_Associated_Molecules_Tetraspanin	CD9
Immunologically_Associated_Molecules_Scavenger_receptor	STAB1
Immunologically_Associated_Molecules_CTLDs_VI_MMR_family	MRC2
Immunologically_Associated_Molecules_Tetraspanin	TSPAN9
Immunologically_Associated_Molecules_NK_cell_co-stimulator	TYROBP
Immunologically_Associated_Molecules_IgSF_CAMB_cell_co-inhibitor	CD22
Immunologically_Associated_Molecules_IL-10_receptor_family	IL20RA
Immunologically_Associated_Molecules_IgSF_CAM	CNTN1
Immunologically_Associated_Molecules_IgSF_CAM	VSIG2
Immunologically_Associated_Molecules_Scavenger_receptor	MARCO
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	FAS
Immunologically_Associated_Molecules_T_cell_co-stimulator/co-inhibitor	SLAMF7
Immunologically_Associated_Molecules_T_cell_co-inhibitor	BTN3A1
Immunologically_Associated_Molecules_Interferon_receptor_family	IFNGR1
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF1B
Immunologically_Associated_Molecules_Scavenger_receptor	MSR1
Immunologically_Associated_Molecules_Cadherin	CDH1
Immunologically_Associated_Molecules_Cadherin	CDH10
Immunologically_Associated_Molecules_Cadherin	DSG2
Immunologically_Associated_Molecules_Tetraspanin	TSPAN17
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF17
Immunologically_Associated_Molecules_Other	KITLG
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	TNFRSF9
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CYBA
Immunologically_Associated_Molecules_CTLDs_VI_MMR_family	LY75
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	RELT
Immunologically_Associated_Molecules_IL-17_receptor_family	IL17RB
Immunologically_Associated_Molecules_Cadherin	CDH3
Immunologically_Associated_Molecules_Tetraspanin	TSPAN32
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	NGFR
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator	CD84
Immunologically_Associated_Molecules_IgSF_CAM	NEO1
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF1A
Immunologically_Associated_Molecules_NK_cell_co-inhibitorCTLDs_V_NK_receptor	CLEC2D
Immunologically_Associated_Molecules_TGF-beta_receptor_family	TGFBR3
Immunologically_Associated_Molecules_CTLDs_XIII_IDD	DGCR2
Immunologically_Associated_Molecules_Cadherin	CDH19
Immunologically_Associated_Molecules_Fc_ReceptorB_cell_co-inhibitor	FCGR2B
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator/co-inhibitor	PVR
Immunologically_Associated_Molecules_Scavenger_receptor	SCARB1
Immunologically_Associated_Molecules_Cadherin	CDHR2
Immunologically_Associated_Molecules_Scavenger_receptor	SCARF1
Immunologically_Associated_Molecules_Cadherin	CELSR1
Immunologically_Associated_Molecules_IgSF_CAM	ICAM3
Immunologically_Associated_Molecules_IgSF_CAM	MCAM
Immunologically_Associated_Molecules_IL-2_receptor_family	IL4R
Immunologically_Associated_Molecules_Integrin	ITGA8
Immunologically_Associated_Molecules_Cadherin	CDH17
Immunologically_Associated_Molecules_Cadherin	CDH7
Immunologically_Associated_Molecules_Cadherin	PCDHB4
Immunologically_Associated_Molecules_Cadherin	PCDHA6
Immunologically_Associated_Molecules_Cadherin	PCDHGA2
Immunologically_Associated_Molecules_IL-12_receptor_family	IL12RB2
Immunologically_Associated_Molecules_Integrin	ITGB5
Immunologically_Associated_Molecules_Integrin	ITGAE
Immunologically_Associated_Molecules_Cadherin	FAT1
Immunologically_Associated_Molecules_Tetraspanin	CD82
Immunologically_Associated_Molecules_Cadherin	FAT2
Immunologically_Associated_Molecules_IgSF_CAM	GP6
Immunologically_Associated_Molecules_CTLDs_XI_Attractin_family	ATRN
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC1
Immunologically_Associated_Molecules_IgSF_CAM	SIRPG
Immunologically_Associated_Molecules_T_cell_co-inhibitor	LAG3
Immunologically_Associated_Molecules_IgSF_CAM	ICAM1
Immunologically_Associated_Molecules_Other	FLT3LG
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CD209
Immunologically_Associated_Molecules_IgSF_CAM	NRCAM
Immunologically_Associated_Molecules_IL-3_receptor_family	IL5RA
Immunologically_Associated_Molecules_Integrin	ITGA6
Immunologically_Associated_Molecules_Atypical_chemokine_Receptor	PITPNM3
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CD200
Immunologically_Associated_Molecules_NK_cell_co-stimulator/co-inhibitor	NCR2
Immunologically_Associated_Molecules_IL-12_receptor_family	IL12RB1
Immunologically_Associated_Molecules_Tetraspanin	TSPAN15
Immunologically_Associated_Molecules_Cadherin	PCDH11Y
Immunologically_Associated_Molecules_Cadherin	CDHR5
Immunologically_Associated_Molecules_IgSF_CAM	MADCAM1
Immunologically_Associated_Molecules_IL-3_receptor_family	CSF2RB
Immunologically_Associated_Molecules_IL-2_receptor_familyT_cell_co-stimulator	IL2RB
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	CD40
Immunologically_Associated_Molecules_Cadherin	CDH20
Immunologically_Associated_Molecules_IgSF_CAM	VSIG1
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	CD40LG
Immunologically_Associated_Molecules_Cadherin	PCDH11X
Immunologically_Associated_Molecules_TNFB_cell_co-stimulator	TNFSF13B
Immunologically_Associated_Molecules_IL-2_receptor_family	IL21R
Immunologically_Associated_Molecules_T_cell_co-stimulator/co-inhibitor	CD276
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF10A
Immunologically_Associated_Molecules_Fc_Receptor	FCGRT
Immunologically_Associated_Molecules_Tetraspanin	CD37
Immunologically_Associated_Molecules_Fc_ReceptorCTLDs_II_Type_2_receptor	FCER2
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4M
Immunologically_Associated_Molecules_T_cell_co-inhibitor	LILRB1
Immunologically_Associated_Molecules_IL-6_receptor_family	IL27RA
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC8
Immunologically_Associated_Molecules_IgSF_CAM	ICAM4
Immunologically_Associated_Molecules_IgSF_CAM	ICAM5
Immunologically_Associated_Molecules_IgSF_CAM	CD33
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC6
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC5
Immunologically_Associated_Molecules_T_cell_co-inhibitor	LILRB5
Immunologically_Associated_Molecules_Tetraspanin	UPK1A
Immunologically_Associated_Molecules_IgSF_CAM	MAG
Immunologically_Associated_Molecules_IgSF_CAM	CADM4
Immunologically_Associated_Molecules_Integrin	ITGB8
Immunologically_Associated_Molecules_Tetraspanin	TSPAN12
Immunologically_Associated_Molecules_T_cell_co-stimulator	EPHB6
Immunologically_Associated_Molecules_Tetraspanin	TSPAN13
Immunologically_Associated_Molecules_TGF-beta_receptor_family	TGFBR1
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	TNFSF8
Immunologically_Associated_Molecules_IgSF_CAM	UNC5B
Immunologically_Associated_Molecules_Cadherin	CDH23
Immunologically_Associated_Molecules_T_cell_co-inhibitor	C10orf54
Immunologically_Associated_Molecules_TGF-beta_receptor_family	BMPR1A
Immunologically_Associated_Molecules_Tetraspanin	TSPAN14
Immunologically_Associated_Molecules_IgSF_CAM	ICAM2
Immunologically_Associated_Molecules_IgSF_CAMNK_cell_co-stimulator	CRTAM
Immunologically_Associated_Molecules_IL-10_receptor_family	IL10RA
Immunologically_Associated_Molecules_IgSF_CAM	PVRL1
Immunologically_Associated_Molecules_TetraspaninB_cell_co-stimulator	CD81
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CD69
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC2B
Immunologically_Associated_Molecules_Tetraspanin	TSPAN11
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	LTBR
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4A
Immunologically_Associated_Molecules_NK_cell_co-stimulator/co-inhibitorCTLDs_V_NK_receptor	KLRB1
Immunologically_Associated_Molecules_T_cell_co-inhibitor	BTN3A3
Immunologically_Associated_Molecules_NK_cell_co-stimulator	ULBP1
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR6
Immunologically_Associated_Molecules_Tetraspanin	PRPH2
Immunologically_Associated_Molecules_Cadherin	PCDHB2
Immunologically_Associated_Molecules_Prolactin_receptor_family	GHR
Immunologically_Associated_Molecules_Cadherin	CDH9
Immunologically_Associated_Molecules_Cadherin	PCDHB3
Immunologically_Associated_Molecules_Cadherin	PCDHB5
Immunologically_Associated_Molecules_Cadherin	PCDHB6
Immunologically_Associated_Molecules_Cadherin	PCDHB7
Immunologically_Associated_Molecules_Cadherin	PCDHB15
Immunologically_Associated_Molecules_T_cell_co-stimulator/co-inhibitor	HAVCR1
Immunologically_Associated_Molecules_T_cell_co-stimulator	BTNL8
Immunologically_Associated_Molecules_Cadherin	CDH6
Immunologically_Associated_Molecules_Prolactin_receptor_family	PRLR
Immunologically_Associated_Molecules_Cadherin	PCDH12
Immunologically_Associated_Molecules_IL-6_receptor_family	LIFR
Immunologically_Associated_Molecules_IgSF_CAM	UNC5A
Immunologically_Associated_Molecules_IgSF_CAM	CNTN3
Immunologically_Associated_Molecules_T_cell_co-stimulator/co-inhibitor	CD86
Immunologically_Associated_Molecules_T_cell_co-inhibitor	HHLA2
Immunologically_Associated_Molecules_Tetraspanin	UPK1B
Immunologically_Associated_Molecules_TGF-beta_receptor_family	ACVR2B
Immunologically_Associated_Molecules_TGF-beta_receptor_family	ACVR1
Immunologically_Associated_Molecules_Integrin	ITGB6
Immunologically_Associated_Molecules_IntegrinT_cell_co-stimulator	ITGA4
Immunologically_Associated_Molecules_Immunoglobulin-like_family_of_IL-1_receptors	IL1R2
Immunologically_Associated_Molecules_Immunoglobulin-like_family_of_IL-1_receptors	IL1R1
Immunologically_Associated_Molecules_Immunoglobulin-like_family_of_IL-1_receptors	IL1RL2
Immunologically_Associated_Molecules_Immunoglobulin-like_family_of_IL-1_receptors	IL1RL1
Immunologically_Associated_Molecules_Immunoglobulin-like_family_of_IL-1_receptors	IL18R1
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CD207
Immunologically_Associated_Molecules_IL-6_receptor_family	LEPR
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator	CD58
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator	CD2
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator	SLAMF1
Immunologically_Associated_Molecules_T_cell_co-stimulator/co-inhibitor	CD48
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CD160
Immunologically_Associated_Molecules_B_cell_co-stimulatorComplement_receptor	CR2
Immunologically_Associated_Molecules_Prolactin_receptor_family	MPL
Immunologically_Associated_Molecules_Tetraspanin	TSPAN1
Immunologically_Associated_Molecules_TNF	FASLG
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	TNFSF4
Immunologically_Associated_Molecules_Cadherin	PCDH17
Immunologically_Associated_Molecules_Prolactin_receptor_family	CSF3R
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CD274
Immunologically_Associated_Molecules_Cadherin	PCDHB8
Immunologically_Associated_Molecules_Cadherin	PCDHB10
Immunologically_Associated_Molecules_Cadherin	PCDHB14
Immunologically_Associated_Molecules_Cadherin	PCDHB12
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	TNFSF18
