PMID35121907_TableS9_CancerSpecificGESP	gene
Adrenal_Gland_Tier_III	TMEM132A
Adrenal_Gland_Tier_III	TSPAN12
Adrenal_Gland_Tier_II	CD63
Adrenal_Gland_Tier_III	EDA
Adrenal_Gland_Tier_I	DLK1
Adrenal_Gland_Tier_II	SERPINA5
Adrenal_Gland_Tier_III	C1orf233
Bladder_Tier_II	UPK2
Bladder_Tier_II	UPK1B
Bladder_Tier_II	SDC1
Bladder_Tier_III	RAB25
Bladder_Tier_III	LY6K
Bladder_Tier_II	SERINC2
Bladder_Tier_III	CHRNA5
Bladder_Tier_II	TACSTD2
Bladder_Tier_II	CLDN4
Breast_Tier_III	CELSR1
Breast_Tier_II	VTCN1
Breast_Tier_I	SLC39A6
Breast_Tier_I	LRRC15
Cervix_Tier_III	CDH3
Cervix_Tier_II	SDC1
Cervix_Tier_I	KCNS1
Cervix_Tier_II	GPR87
Cervix_Tier_III	MAL2
Cervix_Tier_I	LY6K
Cervix_Tier_II	TACSTD2
Bile_Duct_Tier_II	TNFRSF12A
Bile_Duct_Tier_III	CDH1
Bile_Duct_Tier_III	DSG2
Bile_Duct_Tier_III	GGT1
Bile_Duct_Tier_I	ANXA13
Bile_Duct_Tier_II	LSR
Bile_Duct_Tier_II	VTCN1
Bile_Duct_Tier_III	CLDN10
Bile_Duct_Tier_II	PPAP2C
Bile_Duct_Tier_III	SLC44A3
Bile_Duct_Tier_II	KAAG1
Bile_Duct_Tier_III	FGFR4
Bile_Duct_Tier_II	SPINT1
Bile_Duct_Tier_I	TM4SF4
Bile_Duct_Tier_II	TM4SF1
Bile_Duct_Tier_III	B3GNT3
Bile_Duct_Tier_I	OR2I1P
Colon_Tier_I	NOX1
Colon_Tier_III	CDH1
Colon_Tier_III	DSG2
Colon_Tier_III	SLC12A2
Colon_Tier_II	CDH17
Colon_Tier_I	CEACAM6
Colon_Tier_III	PLEK2
Colon_Tier_I	CEACAM5
Colon_Tier_II	GRIN2D
Colon_Tier_II	RNF43
Colon_Tier_I	EPCAM
Colon_Tier_II	TSPAN8
Colon_Tier_II	EPHB2
Colon_Tier_III	PPAP2C
Colon_Tier_II	GPA33
Colon_Tier_III	ST14
Colon_Tier_II	CLDN3
Colon_Tier_I	MUC13
Colon_Tier_III	GPR35
Colon_Tier_II	B3GNT3
Colon_Tier_II	CLDN7
Colon_Tier_II	CLDN4
Lymph_Nodes_Tier_I	CD79B
Lymph_Nodes_Tier_II	CD74
Lymph_Nodes_Tier_II	TNFRSF17
Lymph_Nodes_Tier_I	TNFRSF9
Lymph_Nodes_Tier_II	HMMR
Lymph_Nodes_Tier_III	LAG3
Lymph_Nodes_Tier_I	IL21R
Lymph_Nodes_Tier_I	CD79A
Lymph_Nodes_Tier_II	CD83
Lymph_Nodes_Tier_III	CD80
Lymph_Nodes_Tier_I	CD70
Lymph_Nodes_Tier_II	SIT1
Lymph_Nodes_Tier_III	SLAMF8
Lymph_Nodes_Tier_III	CXCR5
Lymph_Nodes_Tier_III	HTR3A
Lymph_Nodes_Tier_III	CD3D
Lymph_Nodes_Tier_II	CD52
Lymph_Nodes_Tier_I	BFSP2
Lymph_Nodes_Tier_II	CD19
Lymph_Nodes_Tier_II	HLA-DQB1
Lymph_Nodes_Tier_III	LCK
Lymph_Nodes_Tier_I	CLECL1
Lymph_Nodes_Tier_III	LILRB4
Lymph_Nodes_Tier_II	HLA-DRB1
Lymph_Nodes_Tier_III	HLA-DQA1
Lymph_Nodes_Tier_III	ADA
Lymph_Nodes_Tier_III	SIGLEC15
Lymph_Nodes_Tier_III	HLA-DOA
Lymph_Nodes_Tier_II	HLA-DMA
Lymph_Nodes_Tier_II	HLA-DRA
Lymph_Nodes_Tier_II	PTPRCAP
Lymph_Nodes_Tier_II	HLA-DPB1
Lymph_Nodes_Tier_II	LTA
Lymph_Nodes_Tier_III	HLA-DQA2
Lymph_Nodes_Tier_I	OR2I1P
Lymph_Nodes_Tier_II	TNFRSF13B
Lymph_Nodes_Tier_III	TRAC
Esophagus_Tier_II	CDH1
Esophagus_Tier_III	DSG2
Esophagus_Tier_III	CDH3
Esophagus_Tier_III	SLC7A5
Esophagus_Tier_I	CEACAM5
Esophagus_Tier_II	GRIN2D
Esophagus_Tier_III	MET
Esophagus_Tier_II	MAL2
Esophagus_Tier_III	CXADR
Esophagus_Tier_III	CDCP1
Esophagus_Tier_II	SERINC2
Brain_Tier_II	GPM6B
Brain_Tier_II	CACNG4
Brain_Tier_II	SLC1A3
Brain_Tier_II	DLL3
Brain_Tier_III	NRCAM
Brain_Tier_I	TREM2
Brain_Tier_I	PTPRZ1
Brain_Tier_II	CSPG5
Brain_Tier_II	ATP1B2
Brain_Tier_II	LYPD1
Brain_Tier_II	GPM6A
Brain_Tier_II	ADCY8
Brain_Tier_III	PDPN
Brain_Tier_II	HEPACAM
Brain_Tier_II	TTYH1
Brain_Tier_I	AQP4
Brain_Tier_I	GAP43
Brain_Tier_I	CHRNA9
Brain_Tier_III	LRRN1
Brain_Tier_I	LRRC55
Brain_Tier_III	NLGN3
Brain_Tier_II	DDR1
Brain_Tier_II	PCDHGC3
Brain_Tier_III	PCDHGC4
Head_and_Neck_Tier_I	CDH3
Head_and_Neck_Tier_II	COL17A1
Head_and_Neck_Tier_III	PLEK2
Head_and_Neck_Tier_II	SLC7A5
Head_and_Neck_Tier_III	PVRL1
Head_and_Neck_Tier_II	SDC1
Head_and_Neck_Tier_II	SLC2A1
Head_and_Neck_Tier_II	ULBP2
Head_and_Neck_Tier_II	DSG3
Head_and_Neck_Tier_I	CLCA2
Head_and_Neck_Tier_III	IGSF3
Head_and_Neck_Tier_II	LY6K
Head_and_Neck_Tier_III	CDCP1
Head_and_Neck_Tier_II	GJB2
Head_and_Neck_Tier_II	LY6D
Kidney_Tier_II	DSG2
Kidney_Tier_II	PTGER3
Kidney_Tier_I	CA12
Kidney_Tier_III	PLEK2
Kidney_Tier_II	GPR143
Kidney_Tier_I	ADAM2
Kidney_Tier_I	ATP6V0A4
Kidney_Tier_II	MET
Kidney_Tier_II	SCNN1A
Kidney_Tier_II	SDC4
Kidney_Tier_II	MMP24
Kidney_Tier_III	CRB3
Kidney_Tier_II	RHBG
Kidney_Tier_II	GOLM1
Kidney_Tier_III	BMPR1B
Kidney_Tier_II	ATP1B1
Kidney_Tier_III	ILDR1
Kidney_Tier_III	MYO10
Kidney_Tier_III	ASTN2
Kidney_Tier_II	ST14
Kidney_Tier_I	DUSP15
Kidney_Tier_I	CNTNAP5
Kidney_Tier_I	CLDN8
Kidney_Tier_II	KIT
Kidney_Tier_III	SLC29A4
Kidney_Tier_II	OXGR1
Kidney_Tier_III	LRRN2
Kidney_Tier_I	BSG
Kidney_Tier_I	GPRC6A
Kidney_Tier_III	SLC16A11
Kidney_Tier_III	UGT8
Kidney_Tier_I	MUC20
Kidney_Tier_II	BACE2
Kidney_Tier_I	CLCNKB
Kidney_Tier_III	CA12
Kidney_Tier_II	LRP2
Kidney_Tier_I	SEMA5B
Kidney_Tier_III	TREM2
Kidney_Tier_II	GGT1
Kidney_Tier_III	FLT1
Kidney_Tier_I	MET
Kidney_Tier_III	TSPAN12
Kidney_Tier_II	CA9
Kidney_Tier_III	CUBN
Kidney_Tier_II	SLC22A2
Kidney_Tier_I	HAVCR1
Kidney_Tier_III	CDH6
Kidney_Tier_III	KISS1R
Kidney_Tier_I	SLC17A3
Kidney_Tier_I	CD70
Kidney_Tier_I	SLC3A1
Kidney_Tier_I	SLC6A3
Kidney_Tier_II	ATP1B1
Kidney_Tier_II	TMEM27
Kidney_Tier_II	SLC5A10
Kidney_Tier_II	THY1
Kidney_Tier_III	TGFA
Kidney_Tier_II	CLDN2
Kidney_Tier_III	SLC16A4
Kidney_Tier_III	NETO2
Kidney_Tier_III	TMEM37
Kidney_Tier_I	QRFPR
Kidney_Tier_II	CD24
Kidney_Tier_II	ITGA3
Kidney_Tier_I	TNFRSF12A
Kidney_Tier_II	LRP2
Kidney_Tier_III	TREM2
Kidney_Tier_II	GGT1
Kidney_Tier_I	MET
Kidney_Tier_II	SLC22A2
Kidney_Tier_I	HAVCR1
Kidney_Tier_II	CDH6
Kidney_Tier_II	TSPAN1
Kidney_Tier_III	FLRT3
Kidney_Tier_II	LRRN4
Kidney_Tier_I	SLC3A1
Kidney_Tier_III	SLC44A3
Kidney_Tier_II	TMEM27
Kidney_Tier_III	KCNJ16
Kidney_Tier_II	CLDN3
Kidney_Tier_II	CLDN2
Kidney_Tier_III	SLC16A4
Kidney_Tier_I	QRFPR
Kidney_Tier_III	AGRN
Kidney_Tier_II	CLDN4
