"GeneID","gene"
1,"A1B"
1,"ABG"
1,"GAB"
1,"HYST2477"
2,"A2MD"
2,"CPAMD5"
2,"FWP007"
2,"S863-7"
9,"AAC1"
9,"MNAT"
9,"NAT-1"
9,"NATI"
10,"AAC2"
10,"NAT-2"
10,"PNAT"
12,"AACT"
12,"ACT"
12,"GIG24"
12,"GIG25"
13,"CES5A1"
13,"DAC"
14,"AAMP"
15,"DSPS"
15,"SNAT"
16,"AARS"
16,"CMT2N"
16,"DEE29"
16,"EIEE29"
16,"HDLS2"
16,"TTD8"
18,"GABA-AT"
18,"GABAT"
18,"NPD009"
19,"ABC-1"
19,"ABC1"
19,"CERP"
19,"HDLCQTL13"
19,"HDLDT1"
19,"HPALP1"
19,"TGD"
20,"ABC2"
20,"IDPOGSA"
21,"ABC-C"
21,"ABC3"
21,"EST111653"
21,"LBM180"
21,"SMDP3"
22,"ABC7"
22,"ASAT"
22,"Atm1p"
22,"EST140535"
23,"ABC27"
23,"ABC50"
24,"ABC10"
24,"ABCR"
24,"ARMD2"
24,"CORD3"
24,"FFM"
24,"RMP"
24,"RP19"
24,"STGD"
24,"STGD1"
25,"ABL"
25,"BCR-ABL"
25,"CHDSKM"
25,"JTK7"
25,"bcr/abl"
25,"c-ABL"
25,"c-ABL1"
25,"p150"
25,"v-abl"
26,"ABP"
26,"ABP1"
26,"DAO"
26,"DAO1"
26,"KAO"
26,"KDAO"
27,"ABLL"
27,"ARG"
28,"A3GALNT"
28,"A3GALT1"
28,"GTB"
28,"NAGAT"
29,"MDB"
30,"ACAA"
30,"Lnc-Myd88"
30,"PTHIO"
30,"THIO"
31,"ACAC"
31,"ACACAD"
31,"ACACalpha"
31,"ACC"
31,"ACC1"
31,"ACCA"
31,"ACCalpha"
31,"Acac1"
31,"hACC1"
32,"ACACbeta"
32,"ACC-beta"
32,"ACC2"
32,"ACCB"
32,"ACCbeta"
32,"HACC275"
33,"ACAD4"
33,"LCAD"
34,"ACAD1"
34,"MCAD"
34,"MCADH"
35,"ACAD3"
35,"SCAD"
36,"2-MEBCAD"
36,"ACAD7"
36,"SBCAD"
37,"ACAD6"
37,"LCACD"
37,"VLCAD"
38,"ACAT"
38,"MAT"
38,"T2"
38,"THIL"
39,"ACAT2"
40,"ACCN"
40,"ACCN1"
40,"ASIC2a"
40,"BNC1"
40,"BNaC1"
40,"MDEG"
40,"hBNaC1"
41,"ACCN2"
41,"ASIC"
41,"BNaC2"
43,"ACEE"
43,"ARACHE"
43,"N-ACHE"
43,"YT"
47,"ACL"
47,"ATPCL"
47,"CLATP"
48,"ACONS"
48,"HEL60"
48,"IREB1"
48,"IREBP"
48,"IREBP1"
48,"IRP1"
49,"SPGF87"
50,"ACONM"
50,"HEL-S-284"
50,"ICRD"
50,"OCA8"
50,"OPA9"
51,"ACOX"
51,"AOX"
51,"MITCH"
51,"PALMCOX"
51,"SCOX"
52,"HAAP"
52,"LMW-PTP"
52,"LMWPTP"
53,"LAP"
54,"HPAP"
54,"TRACP5a"
54,"TRACP5b"
54,"TRAP"
54,"TRAcP"
54,"TrATPase"
55,"5'-NT"
55,"ACP-3"
55,"ACPP"
55,"TM-PAP"
56,"D11S4365"
56,"SP-10"
56,"SPACA2"
58,"ACTA"
58,"ASMA"
58,"CFTD"
58,"CFTD1"
58,"CFTDM"
58,"CMYP2A"
58,"CMYP2B"
58,"CMYP2C"
58,"MPFD"
58,"NEM1"
58,"NEM2"
58,"NEM3"
58,"SHPM"
59,"ACTSA"
59,"SMDYS"
60,"BKRNS"
60,"BNS"
60,"BRWS1"
60,"CSMH"
60,"DDS1"
60,"PS1TP5BP1"
60,"THC8"
70,"ACTC"
70,"ASD5"
70,"CMD1R"
70,"CMH11"
70,"LVNC4"
71,"ACT"
71,"ACTG"
71,"DFNA20"
71,"DFNA26"
71,"HEL-176"
72,"ACT"
72,"ACTA3"
72,"ACTE"
72,"ACTL3"
72,"ACTSG"
72,"MMIHS5"
72,"VSCM"
72,"VSCM1"
81,"ACTININ-4"
81,"FSGS"
81,"FSGS1"
86,"ACTL6"
86,"ARPN-BETA"
86,"Arp4"
86,"BAF53A"
86,"INO80K"
86,"SMARCN1"
87,"BDPLT15"
88,"CMD1AA"
88,"CMH23"
88,"CMYP8"
88,"MPD6"
88,"MYOCOZ"
89,"ACTN3D"
90,"ACTRI"
90,"ACVR1A"
90,"ACVRLK2"
90,"ALK2"
90,"FOP"
90,"SKR1"
90,"TSRI"
91,"ACTRIB"
91,"ACVRLK4"
91,"ALK4"
91,"SKR2"
92,"ACTRII"
92,"ACVR2"
93,"ACTRIIB"
93,"ActR-IIB"
93,"HTX4"
94,"ACVRLK1"
94,"ALK-1"
94,"ALK1"
94,"HHT"
94,"HHT2"
94,"ORW2"
94,"SKR3"
94,"TSR-I"
95,"ACY-1"
95,"ACY1D"
95,"HEL-S-5"
97,"ACYPE"
98,"ACYM"
98,"ACYP"
100,"ADA1"
101,"CD156"
101,"CD156a"
101,"MS2"
102,"AD10"
102,"AD18"
102,"CD156c"
102,"CDw156"
102,"HsT18717"
102,"MADM"
102,"RAK"
102,"kuz"
103,"ADAR1"
103,"AGS6"
103,"DRADA"
103,"DSH"
103,"DSRAD"
103,"G1P1"
103,"IFI-4"
103,"IFI4"
103,"K88DSRBP"
103,"P136"
104,"ADAR2"
104,"DRABA2"
104,"DRADA2"
104,"NEDHYMS"
104,"RED1"
105,"ADAR3"
105,"RED2"
107,"AC1"
107,"DFNB44"
108,"AC2"
108,"HBAC2"
109,"AC-III"
109,"AC3"
109,"BMIQ19"
111,"AC5"
111,"DSKOD"
111,"FDFM"
112,"AC6"
112,"LCCS8"
113,"AC7"
114,"AC8"
114,"ADCY3"
114,"HBAC1"
115,"AC9"
115,"ACIX"
116,"PACAP"
117,"PAC1"
117,"PAC1R"
117,"PACAPR"
117,"PACAPRI"
118,"ADDA"
119,"ADDB"
120,"ADDL"
120,"CPSQ3"
123,"ADFP"
123,"ADRP"
124,"ADH1"
125,"ADH2"
125,"HEL-S-117"
126,"ADH3"
127,"ADH-2"
127,"HEL-S-4"
128,"ADH-3"
128,"ADHX"
128,"AMEDS"
128,"BMFS7"
128,"FALDH"
128,"FDH"
128,"GSH-FDH"
128,"GSNOR"
128,"HEL-S-60p"
130,"ADH-5"
131,"ADH4"
132,"AK"
133,"AM"
