DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genome Coordinates (mouse: GRCm39 human: GRCh38)	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
46546761	"mouse, laboratory"	10090	Banf1	23825	MGI:1346330			Chr19 4.31 cM	Chr19:5414661-5416904(-)	"NM_001286608,NM_001038231,NM_011793"	"NP_001033320,NP_001273537,NP_035923"	O54962
46546761	human	9606	BANF1	8815		HGNC:17397	OMIM:603811	Chr11 q13.1	Chr11:66002079-66004149(+)	"NM_003860,NM_001143985"	"NP_001137457,NP_003851,XP_016874004,XP_054226339"	O75531
46546762	"mouse, laboratory"	10090	Pde9a	18585	MGI:1277179			Chr17 16.23 cM	Chr17:31605184-31695284(+)	"XM_036160398,NM_001410689,XM_036160401,NM_001410690,NM_001163748,NM_001410688,XM_036160402,XM_036160399,XM_036160400,NM_008804,NM_001410687,NM_001410691"	"XP_036016292,XP_036016293,XP_036016291,XP_036016294,XP_036016295,NP_001397618,NP_001397619,NP_001397620,NP_032830,NP_001157220,NP_001397617,NP_001397616"	O70628
46546762	human	9606	PDE9A	5152		HGNC:8795	OMIM:602973	Chr21 q22.3	Chr21:42653621-42775509(+)	"NM_001001575,NM_001001574,NM_001001567,NM_001001573,NM_001001585,NM_001315533,NM_001001582,NM_001001579,NM_001001578,NM_001001581,NM_001001580,NM_002606,NM_001001577,NM_001001576,NM_001001568,NM_001001569,NM_001001583,NM_001001570,NM_001001571,NM_001001572,NM_001001584"	"NP_001001567,NP_001001568,NP_001001569,NP_001001570,NP_001001571,NP_001001572,NP_001001573,NP_001001574,NP_001001575,NP_001001576,NP_001001577,NP_001001578,NP_001001579,NP_001001580,NP_001001581,NP_001001582,NP_001001583,NP_001001584,NP_001001585,NP_001302462,NP_002597,XP_011527900,XP_011527902,XP_016883855,XP_054180516,XP_054180517,XP_054180518,XP_054180519"	O76083
46546763	"mouse, laboratory"	10090	Asrgl1	66514	MGI:1913764			Chr19 6.06 cM	Chr19:9089083-9112930(-)	NM_025610	NP_079886	Q8C0M9
46546763	human	9606	ASRGL1	80150		HGNC:16448	OMIM:609212	Chr11 q12.3	Chr11:62337448-62401431(+)	"NM_001083926,NM_025080"	"NP_001077395,NP_079356,XP_011543567,XP_011543568,XP_047283587,XP_047283588,XP_054226000,XP_054226001,XP_054226002,XP_054226003"	Q7L266
46546764	"mouse, laboratory"	10090	Clpb	20480	MGI:1100517			Chr7 54.63 cM	Chr7:101312958-101444667(+)	"NM_001417269,NM_009191,NM_001363991,XM_011241702,XM_030242271,NM_001417268,XM_006507489"	"XP_011240004,XP_030098131,XP_006507552,NP_001404198,NP_033217,NP_001404197,NP_001350920"	Q60649
46546764	human	9606	CLPB	81570		HGNC:30664	OMIM:616254	Chr11 q13.4	Chr11:72285495-72434680(-)	"NM_001258392,NM_030813,NM_001258394,NM_001258393"	"NP_001245321,NP_001245322,NP_001245323,NP_110440,XP_005274377,XP_011543591,XP_047283611,XP_047283612,XP_054226051,XP_054226052,XP_054226053,XP_054226054"	Q9H078
46546765	"mouse, laboratory"	10090	Emd	13726	MGI:108117			ChrX 37.92 cM	ChrX:73298293-73305154(+)	"NM_001410136,NM_001410143,NM_001410139,NM_001410134,NM_001410140,NM_001410142,NM_007927,NM_001410135,NM_001410138,NM_001410141,NM_001410137"	"NP_001397070,NP_001397067,NP_031953,NP_001397071,NP_001397068,NP_001397072,NP_001397069,NP_001397063,NP_001397064,NP_001397065,NP_001397066"	O08579
46546765	human	9606	EMD	2010		HGNC:3331	OMIM:300384	ChrX q28	ChrX:154379273-154381574(+)	NM_000117	"NP_000108,XP_054182625,XP_054182626"	P50402
